DGM (Factory),
AGM (Production),
Assist. Manager,
Assist. Manager (Accounts),
Vat Officer,
Store Manager,
Store Officer,
Delivery Officer,
Delivery Supervisor,
Delivery Tally Man,
Delivery Assistant,
Scale Man,
Khatib,
Cleaner,
Compounder,
Crane Driver,
Payloader Driver,
Bus Driver,
Car Driver,
Drump Truck Driver,
Excavator Driver,
Srap Supervisor,
Asst. Srap Supervisor,
Engine Mechanical,
Denting Mistri,
Shift Engineer (Electrical),
Shift Incharge (Electrical),
Asst. Engineer (Electrical),
Sub Asst. Engineer,
Asst. Engineer (SMS),
Electrician,
Jr. Electrician,
Electrician (SMS),
Electrician Cum Desk Operator,
Motor Winder,
Shift Incharge,
Junior Engineer,
Welder,
Fitter (SMS),
Asst. Fitter (SMS),
Fitter Helper (Apc),
Fitter Helper,
Forma Fitter,
Asst. Fitter,
Pump Operator,
Turnar,
D.M Plant Helper,
Bari Man,
Shift Incharge (Production),
Melter,
Asst. Forman Lining,
Lining Man,
First Hand,
Laddle Crane Operator,
Overhead Crane Operator,
Crane Operator (Charging),
Billet Crane Operator,
Chemist,
Chemical Helper,
Assist Manager (CCM),
Mold Operator,
Billet Lifter,
Fitter Cum Cutting Helper,
Shift Engineer (CCM),
Mold Operator,
Senior Filter,
Slide Gate Operator,
Assist. Slide Gate Operator,
Tandish Masion,
Cutterman,
Electrical Manager,
Electrical Engineer,
Electrical Helpar,
Motor Welder,
Lab Technician,
Jonior Engineer Lab,
Asstt Manager(RM Mechanical),
Mech Helper ( welder),
Mech Helper (Cum welder),
Mech Helper (Cum welder),
Senior Mechanical Fitter,
Mechanical Helper,
Mechanical Filter,
Fireman,
Pump Operating Helper,
Y Table Operator,
Bundle Helper,
Tons Man (RM),
Share Operator,
Bundle Helper,
Bundle Opt. Helper,
Cool Share helper,
Pusher Operator,
Mill Filter,
Mill Helper,
Production Filter,
Billet Supervisor,
Billet Supervisor,
Chargeman(RM Workshop),
Turner Helper (RM),
Turnar (Helper) ,
Roll Turnar,
Shaper Operator,
Welder (RM),
Jomader,
Security Guard,
Pulpit Operator,
Cold Shear,
General Turnar,
Gaz Cutter,
Junior Fitter(Mechanical),
Supervisor,
Driver Vhobon,
Driver DGM(RM),
Pickup Driver,
