Head Office,
CCM,
Admin,
Logistic,
SMS Electrical,
SMS Mechanical,
SMS Production,
RM Electrical,
RM Lab,
Head Office,
RM Mechanical,
RM-MILL Operator,
RM Production,
RM Supervisor & Crane Operator,
RM Workshop,
Security,
Casual,
Out of Ispat,
